episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,31.1361,366,3.3,1.000,0.0000,66,0.024,0.56,-0.00,0.0000,0.0000,0.000,7.8
2,31.2102,205,3.3,0.030,0.0000,67,0.023,0.31,-1.46,0.0000,0.0000,0.000,7.8
3,19.3801,320,3.3,0.850,0.0000,66,0.024,0.49,-0.23,0.0000,0.0000,0.000,7.9
4,51.1555,375,3.2,0.160,0.0000,66,0.024,0.58,-1.26,0.0000,0.0000,0.000,7.9
5,26.8633,279,3.3,0.720,0.0000,66,0.024,0.43,-0.42,0.0000,0.0000,0.000,7.8
6,36.0695,329,3.3,0.350,0.0000,69,0.023,0.51,-0.98,0.0000,0.0000,0.000,7.8
7,35.8283,341,3.5,0.600,0.0000,65,0.024,0.52,-0.60,0.0000,0.0000,0.000,7.7
8,36.3986,371,3.2,0.340,0.0000,62,0.025,0.57,-0.99,0.0000,0.0000,0.000,7.7
9,21.2568,273,3.2,0.590,0.0000,63,0.025,0.42,-0.61,0.0000,0.0000,0.000,7.9
10,24.0770,251,3.5,0.370,0.0000,67,0.023,0.39,-0.95,0.0000,0.0000,0.000,8.0
11,25.8570,291,3.6,0.580,0.0000,70,0.022,0.45,-0.63,0.0000,0.0000,0.000,8.0
12,32.4762,298,3.5,0.370,0.0000,63,0.025,0.46,-0.95,0.0000,0.0000,0.000,7.9
13,28.8296,305,3.3,0.550,0.0000,67,0.023,0.47,-0.67,0.0000,0.0000,0.000,7.8
14,36.5433,330,3.4,0.420,0.0000,60,0.026,0.51,-0.87,0.0000,0.0000,0.000,7.7
15,23.8628,267,3.5,0.530,0.0000,66,0.024,0.41,-0.70,0.0000,0.0000,0.000,7.8
16,30.5258,251,3.5,0.450,0.0000,65,0.024,0.39,-0.83,0.0000,0.0000,0.000,7.9
17,24.8945,292,3.3,0.470,0.0000,60,0.026,0.45,-0.80,0.0000,0.0000,0.000,7.9
18,26.0450,288,3.4,0.460,0.0000,63,0.025,0.44,-0.81,0.0000,0.0000,0.000,7.9
19,23.3922,287,3.4,0.450,0.0000,66,0.024,0.44,-0.83,0.0000,0.0000,0.000,7.9
20,34.3560,347,3.3,0.490,0.0000,66,0.024,0.53,-0.77,0.0000,0.0000,0.000,7.8
21,36.5898,331,3.2,0.440,0.0000,64,0.024,0.51,-0.84,0.1761,0.0000,0.000,7.9
22,36.7395,318,3.4,0.530,0.0038,66,0.024,0.49,-0.70,0.1700,0.0991,0.000,7.9
23,35.8341,362,3.4,0.440,0.0081,67,0.023,0.56,-0.84,0.1329,0.1228,0.000,7.8
24,34.7270,350,3.4,0.500,0.0118,65,0.024,0.54,-0.75,0.0936,0.1319,0.000,7.7
25,29.9445,316,3.3,0.450,0.0118,66,0.024,0.49,-0.83,0.0726,0.1319,0.000,7.7
26,30.2850,311,3.4,0.520,0.0118,63,0.025,0.48,-0.72,0.0624,0.1319,0.000,7.7
27,38.8140,352,3.4,0.440,0.0187,63,0.025,0.54,-0.84,0.0585,0.1167,0.000,7.9
28,45.9666,344,3.4,0.520,0.0211,60,0.026,0.53,-0.72,0.0566,0.0981,0.091,7.9
29,33.6812,350,3.5,0.420,0.0254,63,0.025,0.54,-0.87,0.0531,0.1045,0.083,7.9
30,21.6801,260,3.3,0.550,0.0270,60,0.026,0.40,-0.67,0.0524,0.1045,0.083,7.8
31,30.9536,282,3.4,0.430,0.0270,62,0.025,0.43,-0.86,0.0515,0.1045,0.083,7.7
32,23.6622,305,3.5,0.500,0.0300,64,0.024,0.47,-0.75,0.0510,0.0904,0.214,7.7
33,32.6943,285,3.5,0.470,0.0300,63,0.025,0.44,-0.80,0.0516,0.0904,0.214,7.8
34,30.2991,262,3.3,0.560,0.0347,66,0.024,0.40,-0.66,0.0499,0.1043,0.200,7.8
35,36.0325,334,3.1,0.420,0.0369,70,0.022,0.51,-0.87,0.0535,0.1069,0.188,7.9
36,32.7520,316,3.2,0.550,0.0401,66,0.024,0.49,-0.67,0.0486,0.1031,0.167,7.9
37,37.4706,353,3.2,0.370,0.0398,67,0.023,0.54,-0.95,0.0499,0.0987,0.158,7.9
38,21.8782,280,3.2,0.600,0.0425,68,0.023,0.43,-0.60,0.0524,0.1061,0.143,7.9
39,40.7998,299,3.3,0.340,0.0425,66,0.024,0.46,-0.99,0.0487,0.1061,0.143,7.8
40,26.6231,292,3.3,0.580,0.0465,67,0.023,0.45,-0.63,0.0504,0.1103,0.130,7.9
41,32.7215,344,3.4,0.370,0.0449,64,0.024,0.53,-0.95,0.0534,0.1041,0.174,7.8
42,30.2931,311,3.4,0.530,0.0542,66,0.024,0.48,-0.70,0.1546,0.1067,0.167,7.7
43,40.0848,388,3.4,0.430,0.0595,67,0.023,0.60,-0.86,0.1076,0.1148,0.154,7.8
44,23.3768,292,3.4,0.550,0.0584,63,0.025,0.45,-0.67,0.0822,0.1106,0.154,7.8
45,36.0880,277,3.3,0.430,0.0632,67,0.023,0.43,-0.86,0.0640,0.1263,0.154,7.8
46,20.7672,263,3.3,0.550,0.0719,64,0.024,0.40,-0.67,0.0751,0.1215,0.143,7.9
47,49.7422,324,3.2,0.400,0.0749,65,0.024,0.50,-0.90,0.0832,0.1215,0.143,7.9
48,25.2403,315,3.4,0.530,0.0852,66,0.024,0.48,-0.70,0.0797,0.1265,0.133,7.8
49,37.6719,288,3.5,0.410,0.0853,67,0.023,0.44,-0.89,0.0726,0.1265,0.133,7.8
50,31.9989,328,3.4,0.510,0.1088,70,0.022,0.50,-0.73,0.0682,0.1149,0.121,7.7
51,43.3379,322,3.3,0.460,0.1088,66,0.024,0.49,-0.81,0.0627,0.1149,0.121,7.7
52,31.0221,322,3.5,0.410,0.1223,67,0.023,0.50,-0.89,0.0661,0.1162,0.114,7.7
53,24.8363,288,3.4,0.550,0.1201,64,0.024,0.44,-0.67,0.0703,0.1235,0.088,7.8
54,35.9863,309,3.3,0.410,0.1201,63,0.025,0.47,-0.89,0.0738,0.1235,0.088,7.9
55,24.4086,311,3.4,0.490,0.1216,65,0.024,0.48,-0.77,0.0732,0.1215,0.088,8.0
56,24.0868,240,3.4,0.470,0.1243,67,0.023,0.37,-0.80,0.0653,0.1260,0.086,8.0
57,41.5098,330,3.5,0.520,0.1231,68,0.023,0.51,-0.72,0.0655,0.1230,0.079,7.9
58,38.1895,359,3.4,0.450,0.1317,70,0.022,0.55,-0.83,0.0630,0.1250,0.077,7.8
59,30.5109,318,3.4,0.440,0.1345,69,0.023,0.49,-0.84,0.0655,0.1196,0.077,7.8
60,35.4750,328,3.4,0.530,0.1490,64,0.024,0.50,-0.70,0.0687,0.1208,0.095,7.7
61,34.0260,334,3.3,0.450,0.1477,63,0.025,0.51,-0.83,0.0652,0.1248,0.095,7.8
62,32.4505,341,3.3,0.520,0.1550,61,0.026,0.52,-0.72,0.1505,0.1310,0.093,7.8
63,32.6402,299,3.2,0.440,0.1550,66,0.024,0.46,-0.84,0.1246,0.1310,0.093,7.8
64,33.9357,331,3.3,0.480,0.1571,66,0.024,0.51,-0.78,0.1124,0.1327,0.091,7.9
65,24.5756,315,3.4,0.500,0.1680,61,0.026,0.48,-0.75,0.0836,0.1362,0.065,7.9
66,33.2979,282,3.2,0.440,0.1750,63,0.025,0.43,-0.84,0.0824,0.1409,0.087,7.9
67,28.7242,298,3.4,0.510,0.1750,62,0.025,0.46,-0.73,0.0794,0.1409,0.087,7.8
68,28.4574,276,3.5,0.450,0.1791,63,0.025,0.42,-0.83,0.0857,0.1526,0.087,7.8
