episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,31.1361,366,3.3,1.000,0.0000,66,0.024,0.56,-0.00,0.0000,0.0000,0.000,7.8
2,31.2102,205,3.3,0.030,0.0000,67,0.023,0.31,-1.46,0.0000,0.0000,0.000,7.8
3,19.3801,320,3.3,0.850,0.0000,66,0.024,0.49,-0.23,0.0000,0.0000,0.000,7.9
4,51.1555,375,3.2,0.160,0.0000,66,0.024,0.58,-1.26,0.0000,0.0000,0.000,7.9
5,26.8633,279,3.3,0.720,0.0000,66,0.024,0.43,-0.42,0.0000,0.0000,0.000,7.8
6,36.0695,329,3.3,0.350,0.0000,69,0.023,0.51,-0.98,0.0000,0.0000,0.000,7.8
7,35.8283,341,3.5,0.600,0.0000,65,0.024,0.52,-0.60,0.0000,0.0000,0.000,7.7
8,36.3986,371,3.2,0.340,0.0000,62,0.025,0.57,-0.99,0.0000,0.0000,0.000,7.7
9,21.2568,273,3.2,0.590,0.0000,63,0.025,0.42,-0.61,0.0000,0.0000,0.000,7.9
10,24.0770,251,3.5,0.370,0.0000,67,0.023,0.39,-0.95,0.0000,0.0000,0.000,8.0
11,25.8570,291,3.6,0.580,0.0000,70,0.022,0.45,-0.63,0.0000,0.0000,0.000,8.0
12,32.4762,298,3.5,0.370,0.0000,63,0.025,0.46,-0.95,0.0000,0.0000,0.000,7.9
13,28.8296,305,3.3,0.550,0.0000,67,0.023,0.47,-0.67,0.0000,0.0000,0.000,7.8
14,36.5433,330,3.4,0.420,0.0000,60,0.026,0.51,-0.87,0.0000,0.0000,0.000,7.7
15,23.8628,267,3.5,0.530,0.0000,66,0.024,0.41,-0.70,0.0000,0.0000,0.000,7.8
16,30.5258,251,3.5,0.450,0.0000,65,0.024,0.39,-0.83,0.0000,0.0000,0.000,7.9
17,24.8945,292,3.3,0.470,0.0000,60,0.026,0.45,-0.80,0.0000,0.0000,0.000,7.9
18,26.0450,288,3.4,0.460,0.0000,63,0.025,0.44,-0.81,0.0000,0.0000,0.000,7.9
19,23.3922,287,3.4,0.450,0.0000,66,0.024,0.44,-0.83,0.0000,0.0000,0.000,7.9
20,34.3560,347,3.3,0.490,0.0000,66,0.024,0.53,-0.77,0.0000,0.0000,0.000,7.8
21,34.3044,328,3.2,0.430,0.0003,65,0.024,0.50,-0.86,0.1729,0.0049,1.000,7.9
22,30.8028,320,3.3,0.500,0.0012,65,0.024,0.49,-0.75,0.1706,0.0204,0.333,7.9
23,38.5475,323,3.4,0.480,0.0018,68,0.023,0.50,-0.78,0.1661,0.0225,0.200,7.8
24,45.1888,356,3.2,0.430,0.0020,66,0.024,0.55,-0.86,0.1560,0.0205,0.167,7.7
25,26.2693,305,3.2,0.520,0.0026,68,0.023,0.47,-0.72,0.1535,0.0190,0.143,7.7
26,37.1527,344,3.4,0.450,0.0027,67,0.023,0.53,-0.83,0.1480,0.0181,0.125,7.7
27,34.3517,340,3.5,0.440,0.0048,67,0.023,0.52,-0.84,0.1379,0.0194,0.100,7.9
28,31.5662,312,3.3,0.520,0.0062,64,0.024,0.48,-0.72,0.1322,0.0195,0.143,7.9
29,27.1647,324,3.3,0.440,0.0078,67,0.023,0.50,-0.84,0.1265,0.0209,0.176,7.9
30,33.4343,310,3.4,0.540,0.0082,70,0.022,0.48,-0.69,0.1210,0.0213,0.167,7.8
31,38.2210,343,3.3,0.410,0.0089,72,0.022,0.53,-0.89,0.1091,0.0213,0.167,7.7
32,28.5783,253,3.4,0.540,0.0093,65,0.024,0.39,-0.69,0.1010,0.0221,0.158,7.7
33,30.7309,301,3.5,0.400,0.0095,67,0.023,0.46,-0.90,0.0948,0.0210,0.200,7.8
34,26.8131,256,3.5,0.500,0.0108,65,0.024,0.39,-0.75,0.0848,0.0249,0.182,7.8
35,36.3016,330,3.4,0.390,0.0106,68,0.023,0.51,-0.92,0.0813,0.0237,0.250,7.9
36,32.5560,375,3.2,0.530,0.0117,65,0.024,0.58,-0.70,0.0781,0.0239,0.259,7.9
37,34.8325,310,3.2,0.400,0.0127,64,0.024,0.48,-0.90,0.0804,0.0230,0.276,7.9
38,24.8821,339,3.3,0.570,0.0127,67,0.023,0.52,-0.65,0.0775,0.0229,0.276,7.9
39,31.8617,290,3.3,0.420,0.0127,68,0.023,0.45,-0.87,0.0735,0.0237,0.250,7.8
40,30.1127,334,3.3,0.470,0.0130,69,0.023,0.51,-0.80,0.0712,0.0240,0.241,7.9
41,21.0084,281,3.4,0.450,0.0134,65,0.024,0.43,-0.83,0.0768,0.0244,0.233,7.8
42,27.9063,283,3.5,0.480,0.0147,67,0.023,0.43,-0.78,0.1589,0.0254,0.242,7.7
43,32.8602,312,3.4,0.490,0.0164,65,0.024,0.48,-0.77,0.1508,0.0276,0.235,7.8
44,29.1684,328,3.3,0.430,0.0181,65,0.024,0.50,-0.86,0.1364,0.0275,0.250,7.8
45,26.7997,323,3.4,0.550,0.0184,61,0.026,0.50,-0.67,0.1167,0.0269,0.243,7.8
46,33.9077,281,3.3,0.460,0.0197,62,0.025,0.43,-0.81,0.0975,0.0271,0.216,7.9
47,21.9442,284,3.3,0.460,0.0218,65,0.024,0.44,-0.81,0.0871,0.0270,0.222,7.9
48,36.8807,341,3.3,0.480,0.0265,63,0.025,0.52,-0.78,0.0760,0.0275,0.231,7.8
49,29.6797,332,3.4,0.490,0.0296,62,0.025,0.51,-0.77,0.0751,0.0302,0.209,7.8
50,36.2331,320,3.3,0.420,0.0315,72,0.022,0.49,-0.87,0.0781,0.0311,0.209,7.7
51,37.5142,334,3.2,0.550,0.0320,60,0.026,0.51,-0.67,0.0786,0.0301,0.244,7.7
52,40.9227,333,3.4,0.370,0.0320,60,0.026,0.51,-0.95,0.0800,0.0284,0.267,7.7
53,31.2558,305,3.3,0.520,0.0334,62,0.025,0.47,-0.72,0.0739,0.0291,0.277,7.8
54,39.4812,301,3.2,0.500,0.0344,66,0.024,0.46,-0.75,0.0845,0.0289,0.271,7.9
55,37.4109,328,3.5,0.490,0.0346,62,0.025,0.50,-0.77,0.0794,0.0289,0.265,8.0
56,36.1130,338,3.4,0.490,0.0363,72,0.022,0.52,-0.77,0.0720,0.0296,0.275,8.0
57,33.5751,332,3.3,0.480,0.0383,64,0.024,0.51,-0.78,0.0708,0.0319,0.264,7.9
58,39.2660,332,3.1,0.470,0.0399,66,0.024,0.51,-0.80,0.0644,0.0329,0.241,7.8
59,34.9442,356,3.4,0.480,0.0440,62,0.025,0.55,-0.78,0.0631,0.0360,0.211,7.8
60,42.7034,370,3.4,0.470,0.0459,64,0.024,0.57,-0.80,0.0624,0.0372,0.186,7.7
61,32.5082,357,3.4,0.430,0.0449,67,0.023,0.55,-0.86,0.0594,0.0375,0.186,7.8
62,32.3921,333,3.1,0.510,0.0491,63,0.025,0.51,-0.73,0.1408,0.0410,0.153,7.8
63,27.5866,289,3.1,0.450,0.0517,63,0.025,0.44,-0.83,0.1322,0.0429,0.129,7.8
64,32.3974,293,3.3,0.480,0.0547,67,0.023,0.45,-0.78,0.1310,0.0429,0.123,7.9
65,19.9085,298,3.3,0.500,0.0589,64,0.024,0.46,-0.75,0.1205,0.0471,0.123,7.9
66,35.9157,351,3.2,0.450,0.0607,61,0.026,0.54,-0.83,0.1023,0.0476,0.106,7.9
67,34.7611,312,3.3,0.530,0.0615,70,0.022,0.48,-0.70,0.0890,0.0483,0.092,7.8
68,34.0626,366,3.3,0.420,0.0626,61,0.026,0.56,-0.87,0.0760,0.0512,0.078,7.8
