episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,31.1361,366,3.3,1.000,0.0000,66,0.024,0.56,-0.00,0.0000,0.0000,0.000,7.8
2,31.2102,205,3.3,0.030,0.0000,67,0.023,0.31,-1.46,0.0000,0.0000,0.000,7.8
3,19.3801,320,3.3,0.850,0.0000,66,0.024,0.49,-0.23,0.0000,0.0000,0.000,7.9
4,51.1555,375,3.2,0.160,0.0000,66,0.024,0.58,-1.26,0.0000,0.0000,0.000,7.9
5,26.8633,279,3.3,0.720,0.0000,66,0.024,0.43,-0.42,0.0000,0.0000,0.000,7.8
6,36.0695,329,3.3,0.350,0.0000,69,0.023,0.51,-0.98,0.0000,0.0000,0.000,7.8
7,35.8283,341,3.5,0.600,0.0000,65,0.024,0.52,-0.60,0.0000,0.0000,0.000,7.7
8,36.3986,371,3.2,0.340,0.0000,62,0.025,0.57,-0.99,0.0000,0.0000,0.000,7.7
9,21.2568,273,3.2,0.590,0.0000,63,0.025,0.42,-0.61,0.0000,0.0000,0.000,7.9
10,24.0770,251,3.5,0.370,0.0000,67,0.023,0.39,-0.95,0.0000,0.0000,0.000,8.0
11,25.8570,291,3.6,0.580,0.0000,70,0.022,0.45,-0.63,0.0000,0.0000,0.000,8.0
12,32.4762,298,3.5,0.370,0.0000,63,0.025,0.46,-0.95,0.0000,0.0000,0.000,7.9
13,28.8296,305,3.3,0.550,0.0000,67,0.023,0.47,-0.67,0.0000,0.0000,0.000,7.8
14,36.5433,330,3.4,0.420,0.0000,60,0.026,0.51,-0.87,0.0000,0.0000,0.000,7.7
15,23.8628,267,3.5,0.530,0.0000,66,0.024,0.41,-0.70,0.0000,0.0000,0.000,7.8
16,30.5258,251,3.5,0.450,0.0000,65,0.024,0.39,-0.83,0.0000,0.0000,0.000,7.9
17,24.8945,292,3.3,0.470,0.0000,60,0.026,0.45,-0.80,0.0000,0.0000,0.000,7.9
18,26.0450,288,3.4,0.460,0.0000,63,0.025,0.44,-0.81,0.0000,0.0000,0.000,7.9
19,23.3922,287,3.4,0.450,0.0000,66,0.024,0.44,-0.83,0.0000,0.0000,0.000,7.9
20,34.3560,347,3.3,0.490,0.0000,66,0.024,0.53,-0.77,0.0000,0.0000,0.000,7.8
21,36.5898,331,3.2,0.440,0.0000,64,0.024,0.51,-0.84,0.1782,0.0000,0.000,7.9
22,37.8184,335,3.4,0.530,0.0034,68,0.023,0.51,-0.70,0.1668,0.0670,0.000,7.9
23,38.6207,366,3.4,0.440,0.0057,68,0.023,0.56,-0.84,0.1241,0.0639,0.000,7.8
24,36.7313,369,3.4,0.490,0.0067,67,0.023,0.57,-0.77,0.0971,0.0536,0.000,7.7
25,30.3875,339,3.3,0.490,0.0095,66,0.024,0.52,-0.77,0.0721,0.0563,0.000,7.7
26,22.6344,295,3.3,0.420,0.0095,65,0.024,0.45,-0.87,0.0591,0.0563,0.000,7.7
27,33.8055,300,3.4,0.530,0.0135,67,0.023,0.46,-0.70,0.0574,0.0770,0.000,7.9
28,42.5064,374,3.4,0.450,0.0169,73,0.021,0.58,-0.83,0.0575,0.0967,0.000,7.9
29,34.2603,340,3.3,0.480,0.0190,65,0.024,0.52,-0.78,0.0504,0.0967,0.000,7.9
30,25.2618,271,3.3,0.490,0.0220,60,0.026,0.42,-0.77,0.0542,0.0967,0.000,7.8
31,31.0951,279,3.3,0.480,0.0220,66,0.024,0.43,-0.78,0.0501,0.0967,0.000,7.7
32,28.7260,282,3.4,0.430,0.0230,63,0.025,0.43,-0.86,0.0520,0.0934,0.000,7.7
33,37.0254,317,3.4,0.520,0.0230,63,0.025,0.49,-0.72,0.0522,0.0934,0.000,7.8
34,29.4566,309,3.3,0.470,0.0270,66,0.024,0.48,-0.80,0.0534,0.0893,0.000,7.8
35,17.6855,268,3.3,0.530,0.0306,68,0.023,0.41,-0.70,0.0513,0.1022,0.000,7.9
36,31.0702,294,3.4,0.420,0.0319,63,0.025,0.45,-0.87,0.0506,0.1021,0.000,7.9
37,18.5730,254,3.5,0.500,0.0332,70,0.022,0.39,-0.75,0.0524,0.0966,0.000,7.9
38,19.3032,281,3.5,0.450,0.0340,64,0.024,0.43,-0.83,0.0512,0.0899,0.000,7.9
39,34.1266,283,3.3,0.510,0.0340,68,0.023,0.44,-0.73,0.0485,0.0899,0.000,7.8
40,31.4193,282,3.3,0.440,0.0340,66,0.024,0.43,-0.84,0.0495,0.0899,0.000,7.9
41,29.0766,325,3.3,0.510,0.0340,65,0.024,0.50,-0.73,0.0529,0.0865,0.000,7.8
42,28.5911,312,3.2,0.470,0.0425,61,0.026,0.48,-0.80,0.1455,0.1038,0.000,7.7
43,31.1485,312,3.2,0.460,0.0556,65,0.024,0.48,-0.81,0.1086,0.1266,0.000,7.8
44,26.7052,274,3.3,0.450,0.0597,69,0.023,0.42,-0.83,0.0808,0.1335,0.000,7.8
45,40.3601,276,3.4,0.500,0.0698,62,0.025,0.42,-0.75,0.0726,0.1418,0.000,7.8
46,34.3219,340,3.3,0.500,0.0781,62,0.025,0.52,-0.75,0.0677,0.1468,0.000,7.9
47,40.3813,304,3.4,0.440,0.0825,63,0.025,0.47,-0.84,0.0672,0.1544,0.000,7.9
48,18.9609,277,3.4,0.550,0.0914,65,0.024,0.43,-0.67,0.0593,0.1496,0.030,7.8
49,36.0062,259,3.4,0.420,0.0949,63,0.025,0.40,-0.87,0.0607,0.1524,0.029,7.8
50,24.5471,291,3.5,0.520,0.0997,62,0.025,0.45,-0.72,0.0599,0.1497,0.028,7.7
51,23.7665,255,3.4,0.490,0.1068,65,0.024,0.39,-0.77,0.0623,0.1616,0.028,7.7
52,22.6094,281,3.4,0.510,0.1080,63,0.025,0.43,-0.73,0.0638,0.1586,0.027,7.7
53,40.1397,261,3.4,0.420,0.1121,61,0.026,0.40,-0.87,0.0576,0.1610,0.026,7.8
54,31.1942,326,3.3,0.530,0.1176,66,0.024,0.50,-0.70,0.0619,0.1619,0.026,7.9
55,21.6488,313,3.3,0.450,0.1176,68,0.023,0.48,-0.83,0.0618,0.1619,0.026,8.0
56,20.3833,263,3.5,0.530,0.1191,69,0.023,0.40,-0.70,0.0601,0.1587,0.025,8.0
57,37.7290,312,3.4,0.400,0.1229,61,0.026,0.48,-0.90,0.0651,0.1618,0.000,7.9
58,25.3112,298,3.3,0.540,0.1306,65,0.024,0.46,-0.69,0.0556,0.1714,0.000,7.8
59,39.5200,321,3.3,0.450,0.1406,67,0.023,0.49,-0.83,0.0596,0.1631,0.000,7.8
60,42.7917,380,3.4,0.500,0.1476,71,0.022,0.58,-0.75,0.0576,0.1750,0.000,7.7
61,37.6000,338,3.4,0.500,0.1638,68,0.023,0.52,-0.75,0.0578,0.1819,0.021,7.8
62,32.9832,335,3.2,0.440,0.1667,65,0.024,0.51,-0.84,0.1251,0.1856,0.021,7.8
63,25.7464,273,3.4,0.510,0.1667,64,0.024,0.42,-0.73,0.1041,0.1856,0.021,7.8
64,37.9520,354,3.3,0.460,0.1739,63,0.025,0.54,-0.81,0.0873,0.1819,0.041,7.9
65,30.1649,315,3.3,0.480,0.1731,67,0.023,0.48,-0.78,0.0721,0.1746,0.040,7.9
66,36.0500,322,3.3,0.450,0.1776,70,0.022,0.50,-0.83,0.0675,0.1704,0.038,7.9
67,33.0783,302,3.3,0.500,0.1838,68,0.023,0.46,-0.75,0.0708,0.1735,0.037,7.8
68,28.0728,324,3.4,0.440,0.1866,62,0.025,0.50,-0.84,0.0715,0.1783,0.036,7.8
