episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,32.0582,301,3.4,1.000,0.0000,83,0.028,0.46,-0.00,0.0000,0.0000,0.000,7.7
2,34.8459,147,3.4,0.033,0.0000,83,0.028,0.23,-1.45,0.0000,0.0000,0.000,7.7
3,-10.1358,225,3.4,0.813,0.0000,83,0.028,0.35,-0.28,0.0000,0.0000,0.000,7.7
4,33.2328,194,3.4,0.207,0.0000,82,0.029,0.30,-1.19,0.0000,0.0000,0.000,7.7
5,16.6057,241,3.5,0.713,0.0000,76,0.031,0.37,-0.43,0.0000,0.0000,0.000,7.7
6,32.3073,216,3.5,0.273,0.0000,77,0.030,0.33,-1.09,0.0000,0.0000,0.000,7.6
7,35.6450,257,3.3,0.653,0.0000,82,0.029,0.40,-0.52,0.0000,0.0000,0.000,7.6
8,52.4298,312,3.3,0.340,0.0000,78,0.030,0.48,-0.99,0.0000,0.0000,0.000,7.7
9,18.1453,239,3.3,0.567,0.0000,74,0.032,0.37,-0.65,0.0000,0.0000,0.000,7.7
10,48.4271,226,3.4,0.387,0.0000,81,0.029,0.35,-0.92,0.0000,0.0000,0.000,7.8
11,13.3141,254,3.4,0.553,0.0000,76,0.031,0.39,-0.67,0.0000,0.0000,0.000,7.8
12,31.0762,216,3.4,0.407,0.0000,71,0.033,0.33,-0.89,0.0000,0.0000,0.000,7.7
13,41.8733,258,3.4,0.533,0.0000,81,0.029,0.40,-0.70,0.0000,0.0000,0.000,7.6
14,31.6675,291,3.5,0.433,0.0000,80,0.029,0.45,-0.85,0.0000,0.0000,0.000,7.6
15,37.0417,260,3.6,0.487,0.0000,87,0.027,0.40,-0.77,0.0000,0.0000,0.000,7.7
16,29.0975,216,3.5,0.480,0.0000,83,0.028,0.33,-0.78,0.0000,0.0000,0.000,7.8
17,35.9496,237,3.3,0.473,0.0000,82,0.029,0.36,-0.79,0.0000,0.0000,0.000,7.8
18,23.0461,236,3.4,0.467,0.0000,80,0.029,0.36,-0.80,0.0000,0.0000,0.000,7.9
19,33.3525,244,3.4,0.493,0.0000,78,0.030,0.37,-0.76,0.0000,0.0000,0.000,7.8
20,46.0509,280,3.3,0.473,0.0000,80,0.029,0.43,-0.79,0.0000,0.0000,0.000,7.7
21,30.7493,306,3.3,0.487,0.0010,80,0.029,0.47,-0.77,0.1342,0.1076,0.000,7.7
22,25.0254,217,3.4,0.433,0.0013,84,0.028,0.33,-0.85,0.1399,0.1076,0.000,7.7
23,45.9869,241,3.3,0.473,0.0015,82,0.029,0.37,-0.79,0.1387,0.0607,0.000,7.7
24,33.6359,244,3.3,0.460,0.0025,83,0.028,0.38,-0.81,0.1168,0.0326,0.200,7.6
25,45.3560,279,3.3,0.493,0.0025,77,0.030,0.43,-0.76,0.1035,0.0326,0.200,7.6
26,41.3009,287,3.3,0.433,0.0025,81,0.029,0.44,-0.85,0.0878,0.0326,0.200,7.7
27,25.5126,241,3.4,0.473,0.0029,86,0.027,0.37,-0.79,0.0853,0.0298,0.143,7.8
28,44.2960,243,3.5,0.487,0.0036,81,0.029,0.37,-0.77,0.0787,0.0286,0.125,7.8
29,36.3006,292,3.4,0.467,0.0038,79,0.030,0.45,-0.80,0.0719,0.0279,0.111,7.7
30,33.2574,251,3.4,0.487,0.0044,81,0.029,0.39,-0.77,0.0672,0.0292,0.091,7.7
31,39.7762,246,3.4,0.460,0.0055,86,0.027,0.38,-0.81,0.0617,0.0277,0.071,7.6
32,35.0796,226,3.4,0.507,0.0068,80,0.029,0.35,-0.74,0.0619,0.0281,0.125,7.6
33,37.3457,267,3.3,0.460,0.0087,81,0.029,0.41,-0.81,0.0574,0.0283,0.238,7.7
34,30.2672,246,3.5,0.500,0.0096,78,0.030,0.38,-0.75,0.0561,0.0307,0.227,7.8
35,39.2607,261,3.4,0.467,0.0103,80,0.029,0.40,-0.80,0.0580,0.0310,0.208,7.8
36,28.4026,271,3.4,0.473,0.0104,83,0.028,0.42,-0.79,0.0569,0.0295,0.250,7.8
37,37.9033,254,3.4,0.473,0.0111,83,0.028,0.39,-0.79,0.0539,0.0278,0.308,7.8
38,31.1379,266,3.4,0.453,0.0120,79,0.030,0.41,-0.82,0.0543,0.0275,0.345,7.7
39,35.9158,236,3.4,0.453,0.0125,81,0.029,0.36,-0.82,0.0539,0.0265,0.323,7.7
40,36.7722,271,3.4,0.447,0.0132,85,0.028,0.42,-0.83,0.0533,0.0252,0.364,7.7
41,40.5306,262,3.3,0.447,0.0135,90,0.026,0.40,-0.83,0.0536,0.0249,0.343,7.7
42,42.3097,330,3.3,0.507,0.0222,85,0.028,0.51,-0.74,0.1347,0.0425,0.297,7.6
43,43.7916,253,3.4,0.467,0.0268,81,0.029,0.39,-0.80,0.1082,0.0435,0.282,7.6
44,36.4301,285,3.3,0.480,0.0360,85,0.028,0.44,-0.78,0.0907,0.0509,0.262,7.7
45,36.7562,258,3.3,0.467,0.0384,86,0.027,0.40,-0.80,0.0803,0.0567,0.256,7.7
46,39.7427,273,3.3,0.427,0.0452,81,0.029,0.42,-0.86,0.0692,0.0662,0.205,7.7
47,41.6606,275,3.3,0.553,0.0520,84,0.028,0.42,-0.67,0.0680,0.0706,0.196,7.8
48,44.8688,259,3.3,0.420,0.0603,77,0.030,0.40,-0.87,0.0648,0.0871,0.174,7.6
49,31.2842,267,3.5,0.547,0.0723,77,0.030,0.41,-0.68,0.0660,0.0959,0.170,7.6
50,34.5958,256,3.5,0.400,0.0818,81,0.029,0.39,-0.90,0.0685,0.0963,0.157,7.6
51,29.2787,243,3.5,0.513,0.0909,72,0.033,0.37,-0.73,0.0692,0.0910,0.151,7.6
52,35.6863,229,3.5,0.407,0.0996,79,0.030,0.35,-0.89,0.0671,0.0911,0.167,7.7
53,32.5186,237,3.4,0.500,0.1094,80,0.029,0.36,-0.75,0.0652,0.1101,0.161,7.8
54,40.6401,291,3.4,0.473,0.1125,82,0.029,0.45,-0.79,0.0680,0.1150,0.143,7.8
55,27.6894,238,3.4,0.487,0.1209,81,0.029,0.37,-0.77,0.0653,0.1193,0.105,7.9
56,44.1134,242,3.5,0.460,0.1257,79,0.030,0.37,-0.81,0.0645,0.1196,0.100,7.8
57,39.5126,276,3.4,0.473,0.1307,80,0.029,0.42,-0.79,0.0643,0.1193,0.095,7.8
58,24.6559,220,3.5,0.487,0.1335,86,0.027,0.34,-0.77,0.0637,0.1124,0.108,7.8
59,36.6970,273,3.4,0.407,0.1400,84,0.028,0.42,-0.89,0.0612,0.1150,0.092,7.7
60,35.3943,280,3.3,0.540,0.1437,79,0.030,0.43,-0.69,0.0658,0.1133,0.092,7.7
61,29.8456,266,3.4,0.427,0.1507,79,0.030,0.41,-0.86,0.0612,0.1208,0.092,7.7
62,36.8860,245,3.3,0.513,0.1558,79,0.030,0.38,-0.73,0.1172,0.1199,0.103,7.7
63,37.8197,258,3.3,0.440,0.1630,83,0.028,0.40,-0.84,0.1026,0.1215,0.114,7.7
