episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,35.7560,260,3.4,1.000,0.0000,94,0.033,0.40,-0.00,0.0000,0.0000,0.000,7.8
2,41.1656,130,3.4,0.025,0.0000,95,0.033,0.20,-1.46,0.0000,0.0000,0.000,7.7
3,-1.1942,210,3.4,0.860,0.0000,97,0.032,0.32,-0.21,0.0000,0.0000,0.000,7.8
4,51.4015,226,3.4,0.135,0.0000,99,0.032,0.35,-1.30,0.0000,0.0000,0.000,7.8
5,7.2478,222,3.4,0.765,0.0000,87,0.036,0.34,-0.35,0.0000,0.0000,0.000,7.7
6,51.8490,217,3.4,0.240,0.0000,90,0.035,0.33,-1.14,0.0000,0.0000,0.000,7.7
7,37.0687,213,3.5,0.680,0.0000,95,0.033,0.33,-0.48,0.0000,0.0000,0.000,7.7
8,62.2012,216,3.5,0.295,0.0000,91,0.034,0.33,-1.06,0.0000,0.0000,0.000,7.7
9,15.3339,177,3.5,0.650,0.0000,91,0.034,0.27,-0.52,0.0000,0.0000,0.000,7.7
10,24.1798,189,3.5,0.350,0.0000,94,0.033,0.29,-0.98,0.0000,0.0000,0.000,7.8
11,26.2371,201,3.5,0.555,0.0000,89,0.035,0.31,-0.67,0.0000,0.0000,0.000,7.8
12,50.2622,199,3.5,0.405,0.0000,88,0.036,0.31,-0.89,0.0000,0.0000,0.000,7.7
13,33.2441,219,3.4,0.530,0.0000,90,0.035,0.34,-0.70,0.0000,0.0000,0.000,7.7
14,30.5323,207,3.5,0.420,0.0000,93,0.034,0.32,-0.87,0.0000,0.0000,0.000,7.7
15,31.3527,219,3.4,0.510,0.0000,90,0.035,0.34,-0.73,0.0000,0.0000,0.000,7.8
16,47.5244,277,3.5,0.470,0.0000,88,0.036,0.43,-0.80,0.0000,0.0000,0.000,7.8
17,28.2467,222,3.4,0.480,0.0000,90,0.035,0.34,-0.78,0.0000,0.0000,0.000,7.9
18,35.2565,233,3.4,0.440,0.0000,90,0.035,0.36,-0.84,0.0000,0.0000,0.000,7.9
19,30.1824,205,3.4,0.510,0.0000,92,0.034,0.32,-0.73,0.0000,0.0000,0.000,7.8
20,41.0064,218,3.4,0.485,0.0000,90,0.035,0.33,-0.77,0.0000,0.0000,0.000,7.7
21,28.3714,232,3.3,0.470,0.0005,90,0.035,0.36,-0.80,0.1056,0.0292,0.000,7.8
22,17.9602,185,3.4,0.525,0.0009,93,0.034,0.28,-0.71,0.0961,0.0292,0.000,7.8
23,34.8724,201,3.4,0.435,0.0058,94,0.033,0.31,-0.85,0.0852,0.0386,0.250,7.7
24,48.8916,172,3.5,0.500,0.0103,92,0.034,0.26,-0.75,0.0697,0.1949,0.125,7.6
25,55.4805,210,3.4,0.445,0.0124,87,0.036,0.32,-0.83,0.0658,0.1949,0.125,7.7
26,24.3685,250,3.4,0.495,0.0156,93,0.034,0.38,-0.76,0.0581,0.2455,0.111,7.7
27,36.0585,205,3.4,0.460,0.0187,90,0.035,0.32,-0.81,0.0606,0.2697,0.100,7.8
28,40.5432,248,3.4,0.510,0.0221,90,0.035,0.38,-0.73,0.0507,0.2603,0.091,7.8
29,30.8439,221,3.3,0.435,0.0251,96,0.033,0.34,-0.85,0.0598,0.2603,0.091,7.8
30,30.0849,191,3.4,0.485,0.0252,89,0.035,0.29,-0.77,0.0591,0.2400,0.083,7.7
31,40.5652,211,3.5,0.465,0.0302,87,0.036,0.32,-0.80,0.0625,0.2294,0.071,7.7
32,34.2069,206,3.5,0.480,0.0360,96,0.033,0.32,-0.78,0.0546,0.2210,0.062,7.7
33,36.2585,214,3.5,0.460,0.0376,89,0.035,0.33,-0.81,0.0577,0.2265,0.059,7.8
34,44.8430,227,3.5,0.465,0.0503,87,0.036,0.35,-0.80,0.0601,0.2422,0.048,7.8
35,31.8173,214,3.4,0.480,0.0548,91,0.034,0.33,-0.78,0.0573,0.2426,0.043,7.8
36,31.3704,198,3.4,0.470,0.0614,85,0.037,0.30,-0.80,0.0600,0.2473,0.038,7.8
37,33.5958,201,3.5,0.440,0.0628,90,0.035,0.31,-0.84,0.0596,0.2358,0.040,7.8
38,28.4541,211,3.4,0.520,0.0774,92,0.034,0.32,-0.72,0.0578,0.2214,0.031,7.8
39,57.1532,271,3.4,0.410,0.0822,93,0.034,0.42,-0.89,0.0643,0.2288,0.030,7.7
40,29.9731,231,3.5,0.505,0.0928,91,0.034,0.36,-0.74,0.0573,0.2240,0.027,7.8
41,43.4921,208,3.4,0.435,0.0998,93,0.034,0.32,-0.85,0.0562,0.2299,0.024,7.7
42,27.5491,211,3.4,0.545,0.1011,92,0.034,0.32,-0.68,0.0903,0.2321,0.023,7.6
43,22.5625,226,3.4,0.465,0.1064,97,0.032,0.35,-0.80,0.0718,0.2307,0.023,7.7
44,38.6381,218,3.4,0.470,0.1170,91,0.034,0.34,-0.80,0.0643,0.2580,0.023,7.7
45,32.4251,179,3.4,0.485,0.1222,92,0.034,0.27,-0.77,0.0694,0.2463,0.024,7.7
46,45.4361,199,3.4,0.480,0.1272,90,0.035,0.31,-0.78,0.0694,0.2586,0.023,7.8
47,39.0317,217,3.5,0.470,0.1442,90,0.035,0.33,-0.80,0.0717,0.2846,0.021,7.8
48,44.0740,242,3.5,0.470,0.1541,93,0.034,0.37,-0.80,0.0679,0.2860,0.020,7.7
49,31.2214,205,3.4,0.465,0.1621,95,0.033,0.32,-0.80,0.0690,0.3007,0.018,7.7
50,37.6199,212,3.4,0.485,0.1808,90,0.035,0.33,-0.77,0.0657,0.3055,0.017,7.7
51,40.6000,228,3.4,0.460,0.1845,87,0.036,0.35,-0.81,0.0763,0.3051,0.017,7.8
52,43.6514,208,3.4,0.515,0.1945,87,0.036,0.32,-0.73,0.0697,0.3045,0.016,7.8
53,30.2728,204,3.4,0.440,0.2057,87,0.036,0.31,-0.84,0.0661,0.3209,0.016,7.8
54,31.9390,173,3.4,0.500,0.2127,88,0.036,0.27,-0.75,0.0694,0.3278,0.016,7.8
55,35.4427,210,3.4,0.440,0.2216,91,0.034,0.32,-0.84,0.0694,0.3197,0.030,7.8
56,29.8259,205,3.4,0.515,0.2298,94,0.033,0.32,-0.73,0.0692,0.3078,0.029,7.8
57,34.3416,190,3.4,0.445,0.2350,92,0.034,0.29,-0.83,0.0664,0.3098,0.029,7.8
58,37.3819,241,3.4,0.505,0.2460,92,0.034,0.37,-0.74,0.0670,0.3066,0.029,7.8
59,49.2872,241,3.4,0.445,0.2492,88,0.036,0.37,-0.83,0.0693,0.3059,0.029,7.7
60,40.3905,203,3.5,0.475,0.2676,92,0.034,0.31,-0.79,0.0737,0.3094,0.027,7.7
61,44.0091,217,3.4,0.470,0.2718,90,0.035,0.33,-0.80,0.0708,0.3099,0.025,7.7
62,43.6484,232,3.4,0.450,0.2742,87,0.036,0.36,-0.83,0.0830,0.3010,0.025,7.7
63,24.6871,193,3.4,0.485,0.2828,93,0.034,0.30,-0.77,0.0812,0.2965,0.025,7.7
64,53.2559,255,3.4,0.455,0.2905,89,0.035,0.39,-0.82,0.0676,0.2957,0.024,7.8
65,32.9448,237,3.4,0.490,0.2910,92,0.034,0.36,-0.77,0.0707,0.2928,0.024,7.8
66,28.0030,168,3.4,0.455,0.2920,88,0.036,0.26,-0.82,0.0768,0.2908,0.024,7.8
67,30.1243,226,3.3,0.485,0.2939,89,0.035,0.35,-0.77,0.0710,0.3060,0.024,7.7
68,32.7707,214,3.4,0.465,0.2944,91,0.034,0.33,-0.80,0.0682,0.3049,0.024,7.8
69,27.5373,182,3.5,0.530,0.2946,95,0.033,0.28,-0.70,0.0728,0.2939,0.036,7.7
70,31.1026,194,3.5,0.435,0.2998,94,0.033,0.30,-0.85,0.0668,0.2973,0.035,7.8
71,39.9802,236,3.3,0.515,0.3069,96,0.033,0.36,-0.73,0.0726,0.3012,0.045,7.8
72,42.2323,215,3.3,0.425,0.3084,94,0.033,0.33,-0.86,0.0740,0.2970,0.046,7.8
73,33.9823,174,3.4,0.545,0.3158,90,0.035,0.27,-0.68,0.0697,0.2991,0.045,7.9
74,44.5181,234,3.3,0.435,0.3210,92,0.034,0.36,-0.85,0.0756,0.2948,0.033,7.8
75,22.9355,205,3.4,0.485,0.3299,91,0.034,0.32,-0.77,0.0729,0.2959,0.032,7.8
76,45.3997,220,3.4,0.475,0.3362,94,0.033,0.34,-0.79,0.0786,0.2888,0.031,7.8
77,16.8194,216,3.4,0.490,0.3435,97,0.032,0.33,-0.77,0.0757,0.2911,0.031,7.8
78,41.4899,180,3.5,0.455,0.3547,94,0.033,0.28,-0.82,0.0729,0.2917,0.030,7.7
79,39.9052,244,3.5,0.470,0.3620,83,0.038,0.37,-0.80,0.0732,0.2926,0.029,7.8
80,49.0681,242,3.4,0.470,0.3663,91,0.034,0.37,-0.80,0.0763,0.2923,0.029,7.8
81,55.7202,239,3.4,0.460,0.3694,89,0.035,0.37,-0.81,0.0753,0.2852,0.028,7.7
82,43.7797,230,3.4,0.450,0.3735,94,0.033,0.35,-0.83,0.0931,0.2863,0.028,7.8
83,26.9470,220,3.3,0.505,0.3795,90,0.035,0.34,-0.74,0.0810,0.2859,0.027,7.8
