episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,32.0582,301,3.4,1.000,0.0000,83,0.028,0.46,-0.00,0.0000,0.0000,0.000,7.7
2,34.8459,147,3.4,0.033,0.0000,83,0.028,0.23,-1.45,0.0000,0.0000,0.000,7.7
3,-10.1358,225,3.4,0.813,0.0000,83,0.028,0.35,-0.28,0.0000,0.0000,0.000,7.7
4,33.2328,194,3.4,0.207,0.0000,82,0.029,0.30,-1.19,0.0000,0.0000,0.000,7.7
5,16.6057,241,3.5,0.713,0.0000,76,0.031,0.37,-0.43,0.0000,0.0000,0.000,7.7
6,32.3073,216,3.5,0.273,0.0000,77,0.030,0.33,-1.09,0.0000,0.0000,0.000,7.6
7,35.6450,257,3.3,0.653,0.0000,82,0.029,0.40,-0.52,0.0000,0.0000,0.000,7.6
8,52.4298,312,3.3,0.340,0.0000,78,0.030,0.48,-0.99,0.0000,0.0000,0.000,7.7
9,18.1453,239,3.3,0.567,0.0000,74,0.032,0.37,-0.65,0.0000,0.0000,0.000,7.7
10,48.4271,226,3.4,0.387,0.0000,81,0.029,0.35,-0.92,0.0000,0.0000,0.000,7.8
11,13.3141,254,3.4,0.553,0.0000,76,0.031,0.39,-0.67,0.0000,0.0000,0.000,7.8
12,31.0762,216,3.4,0.407,0.0000,71,0.033,0.33,-0.89,0.0000,0.0000,0.000,7.7
13,41.8733,258,3.4,0.533,0.0000,81,0.029,0.40,-0.70,0.0000,0.0000,0.000,7.6
14,31.6675,291,3.5,0.433,0.0000,80,0.029,0.45,-0.85,0.0000,0.0000,0.000,7.6
15,37.0417,260,3.6,0.487,0.0000,87,0.027,0.40,-0.77,0.0000,0.0000,0.000,7.7
16,29.0975,216,3.5,0.480,0.0000,83,0.028,0.33,-0.78,0.0000,0.0000,0.000,7.8
17,35.9496,237,3.3,0.473,0.0000,82,0.029,0.36,-0.79,0.0000,0.0000,0.000,7.8
18,23.0461,236,3.4,0.467,0.0000,80,0.029,0.36,-0.80,0.0000,0.0000,0.000,7.9
19,33.3525,244,3.4,0.493,0.0000,78,0.030,0.37,-0.76,0.0000,0.0000,0.000,7.8
20,46.0509,280,3.3,0.473,0.0000,80,0.029,0.43,-0.79,0.0000,0.0000,0.000,7.7
21,30.7493,306,3.3,0.487,0.0003,80,0.029,0.47,-0.77,0.1345,0.0465,0.000,7.7
22,25.0254,217,3.4,0.433,0.0006,84,0.028,0.33,-0.85,0.1407,0.0465,0.000,7.7
23,47.3563,246,3.3,0.473,0.0011,82,0.029,0.38,-0.79,0.1481,0.0243,0.500,7.7
24,33.6425,240,3.3,0.453,0.0020,82,0.029,0.37,-0.82,0.1346,0.0255,0.250,7.6
25,44.1216,274,3.3,0.493,0.0020,77,0.030,0.42,-0.76,0.1288,0.0255,0.250,7.6
26,27.7510,271,3.3,0.407,0.0020,70,0.033,0.42,-0.89,0.1191,0.0255,0.250,7.7
27,24.7243,218,3.3,0.533,0.0027,78,0.030,0.33,-0.70,0.1166,0.0301,0.167,7.8
28,33.7565,249,3.4,0.460,0.0027,78,0.030,0.38,-0.81,0.1177,0.0274,0.167,7.8
29,42.2805,256,3.4,0.513,0.0029,84,0.028,0.39,-0.73,0.1057,0.0260,0.143,7.7
30,53.3019,331,3.4,0.427,0.0037,85,0.028,0.51,-0.86,0.0979,0.0263,0.111,7.7
31,27.9419,266,3.4,0.520,0.0048,77,0.030,0.41,-0.72,0.0976,0.0310,0.091,7.6
32,29.3378,210,3.4,0.427,0.0056,73,0.032,0.32,-0.86,0.0868,0.0294,0.077,7.6
33,33.9333,274,3.4,0.540,0.0073,80,0.029,0.42,-0.69,0.0848,0.0322,0.111,7.7
34,35.5041,271,3.4,0.393,0.0081,85,0.028,0.42,-0.91,0.0773,0.0326,0.143,7.8
35,30.2423,227,3.4,0.560,0.0087,79,0.030,0.35,-0.66,0.0792,0.0321,0.136,7.8
36,33.9266,231,3.4,0.393,0.0090,77,0.030,0.35,-0.91,0.0833,0.0308,0.174,7.8
37,26.7395,267,3.4,0.520,0.0095,83,0.028,0.41,-0.72,0.0782,0.0313,0.174,7.8
38,35.6827,255,3.4,0.453,0.0102,81,0.029,0.39,-0.82,0.0763,0.0307,0.167,7.7
39,47.2925,259,3.4,0.453,0.0102,84,0.028,0.40,-0.82,0.0736,0.0307,0.167,7.7
40,36.6654,282,3.4,0.513,0.0106,81,0.029,0.43,-0.73,0.0711,0.0301,0.192,7.7
41,24.5323,260,3.3,0.473,0.0114,83,0.028,0.40,-0.79,0.0701,0.0303,0.179,7.7
42,35.5307,230,3.3,0.473,0.0130,85,0.028,0.35,-0.79,0.1321,0.0340,0.172,7.6
43,39.6256,267,3.4,0.507,0.0146,82,0.029,0.41,-0.74,0.1234,0.0372,0.161,7.6
44,37.5188,288,3.4,0.440,0.0153,84,0.028,0.44,-0.84,0.1172,0.0405,0.125,7.7
45,31.2150,252,3.4,0.447,0.0161,83,0.028,0.39,-0.83,0.1061,0.0426,0.118,7.7
46,27.6548,214,3.4,0.493,0.0170,84,0.028,0.33,-0.76,0.0942,0.0447,0.114,7.7
47,59.9930,294,3.3,0.433,0.0166,81,0.029,0.45,-0.85,0.0858,0.0422,0.114,7.8
48,20.7081,255,3.4,0.527,0.0174,83,0.028,0.39,-0.71,0.0773,0.0429,0.108,7.6
49,37.0891,198,3.4,0.433,0.0188,83,0.028,0.30,-0.85,0.0698,0.0447,0.100,7.6
50,33.4284,240,3.4,0.507,0.0203,82,0.029,0.37,-0.74,0.0713,0.0491,0.095,7.6
51,30.4668,244,3.4,0.480,0.0219,85,0.028,0.37,-0.78,0.0723,0.0488,0.087,7.6
52,32.1172,242,3.3,0.447,0.0234,84,0.028,0.37,-0.83,0.0739,0.0484,0.083,7.7
53,25.4239,233,3.3,0.500,0.0240,81,0.029,0.36,-0.75,0.0784,0.0484,0.080,7.8
54,35.9807,248,3.4,0.453,0.0243,83,0.028,0.38,-0.82,0.0786,0.0479,0.080,7.8
55,41.4380,273,3.4,0.467,0.0258,81,0.029,0.42,-0.80,0.0816,0.0467,0.075,7.9
56,45.8657,255,3.4,0.467,0.0266,79,0.030,0.39,-0.80,0.0740,0.0449,0.107,7.8
57,44.7336,302,3.2,0.493,0.0283,80,0.029,0.46,-0.76,0.0687,0.0452,0.107,7.8
58,42.1574,273,3.4,0.480,0.0290,77,0.030,0.42,-0.78,0.0677,0.0447,0.086,7.8
59,32.0371,259,3.4,0.447,0.0303,84,0.028,0.40,-0.83,0.0634,0.0452,0.103,7.7
60,40.6216,233,3.4,0.513,0.0308,83,0.028,0.36,-0.73,0.0664,0.0453,0.102,7.7
61,43.9968,288,3.4,0.433,0.0318,79,0.030,0.44,-0.85,0.0650,0.0453,0.100,7.7
62,24.9987,248,3.3,0.493,0.0335,80,0.029,0.38,-0.76,0.1212,0.0419,0.129,7.7
63,30.3226,258,3.3,0.467,0.0368,80,0.029,0.40,-0.80,0.1199,0.0451,0.121,7.7
