episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,32.0582,301,3.4,1.000,0.0000,83,0.028,0.46,-0.00,0.0000,0.0000,0.000,7.7
2,34.8459,147,3.4,0.033,0.0000,83,0.028,0.23,-1.45,0.0000,0.0000,0.000,7.7
3,-10.1358,225,3.4,0.813,0.0000,83,0.028,0.35,-0.28,0.0000,0.0000,0.000,7.7
4,33.2328,194,3.4,0.207,0.0000,82,0.029,0.30,-1.19,0.0000,0.0000,0.000,7.7
5,16.6057,241,3.5,0.713,0.0000,76,0.031,0.37,-0.43,0.0000,0.0000,0.000,7.7
6,32.3073,216,3.5,0.273,0.0000,77,0.030,0.33,-1.09,0.0000,0.0000,0.000,7.6
7,35.6450,257,3.3,0.653,0.0000,82,0.029,0.40,-0.52,0.0000,0.0000,0.000,7.6
8,52.4298,312,3.3,0.340,0.0000,78,0.030,0.48,-0.99,0.0000,0.0000,0.000,7.7
9,18.1453,239,3.3,0.567,0.0000,74,0.032,0.37,-0.65,0.0000,0.0000,0.000,7.7
10,48.4271,226,3.4,0.387,0.0000,81,0.029,0.35,-0.92,0.0000,0.0000,0.000,7.8
11,13.3141,254,3.4,0.553,0.0000,76,0.031,0.39,-0.67,0.0000,0.0000,0.000,7.8
12,31.0762,216,3.4,0.407,0.0000,71,0.033,0.33,-0.89,0.0000,0.0000,0.000,7.7
13,41.8733,258,3.4,0.533,0.0000,81,0.029,0.40,-0.70,0.0000,0.0000,0.000,7.6
14,31.6675,291,3.5,0.433,0.0000,80,0.029,0.45,-0.85,0.0000,0.0000,0.000,7.6
15,37.0417,260,3.6,0.487,0.0000,87,0.027,0.40,-0.77,0.0000,0.0000,0.000,7.7
16,29.0975,216,3.5,0.480,0.0000,83,0.028,0.33,-0.78,0.0000,0.0000,0.000,7.8
17,35.9496,237,3.3,0.473,0.0000,82,0.029,0.36,-0.79,0.0000,0.0000,0.000,7.8
18,23.0461,236,3.4,0.467,0.0000,80,0.029,0.36,-0.80,0.0000,0.0000,0.000,7.9
19,33.3525,244,3.4,0.493,0.0000,78,0.030,0.37,-0.76,0.0000,0.0000,0.000,7.8
20,46.0509,280,3.3,0.473,0.0000,80,0.029,0.43,-0.79,0.0000,0.0000,0.000,7.7
21,30.5341,302,3.3,0.487,0.0002,79,0.030,0.46,-0.77,0.1326,0.0171,0.000,7.7
22,28.2682,226,3.4,0.433,0.0006,83,0.028,0.35,-0.85,0.1408,0.0171,0.000,7.7
23,45.2013,245,3.3,0.473,0.0009,82,0.029,0.38,-0.79,0.1461,0.0216,0.000,7.7
24,35.1241,250,3.3,0.453,0.0017,83,0.028,0.38,-0.82,0.1341,0.0197,0.000,7.6
25,46.3538,280,3.3,0.487,0.0017,78,0.030,0.43,-0.77,0.1291,0.0197,0.000,7.6
26,37.1723,265,3.4,0.447,0.0017,80,0.029,0.41,-0.83,0.1197,0.0197,0.000,7.7
27,27.2154,249,3.4,0.460,0.0025,85,0.028,0.38,-0.81,0.1209,0.0181,0.143,7.8
28,38.1799,230,3.4,0.507,0.0035,86,0.027,0.35,-0.74,0.1206,0.0265,0.100,7.8
29,41.3923,257,3.3,0.487,0.0035,85,0.028,0.40,-0.77,0.1056,0.0265,0.100,7.7
30,29.7782,270,3.4,0.500,0.0039,85,0.028,0.42,-0.75,0.1039,0.0265,0.100,7.7
31,30.5344,247,3.5,0.440,0.0046,86,0.027,0.38,-0.84,0.1017,0.0267,0.083,7.6
32,19.0182,238,3.5,0.500,0.0047,82,0.029,0.37,-0.75,0.0993,0.0237,0.214,7.6
33,25.0756,207,3.4,0.467,0.0058,85,0.028,0.32,-0.80,0.0871,0.0234,0.250,7.7
34,39.1666,268,3.5,0.460,0.0060,83,0.028,0.41,-0.81,0.0794,0.0234,0.250,7.8
35,20.7961,244,3.5,0.507,0.0064,76,0.031,0.38,-0.74,0.0809,0.0259,0.188,7.8
36,33.7049,190,3.4,0.460,0.0066,76,0.031,0.29,-0.81,0.0817,0.0248,0.250,7.8
37,26.7287,235,3.5,0.520,0.0075,78,0.030,0.36,-0.72,0.0782,0.0257,0.211,7.8
38,39.7394,279,3.4,0.393,0.0076,79,0.030,0.43,-0.91,0.0760,0.0253,0.200,7.7
39,33.0244,249,3.4,0.540,0.0094,84,0.028,0.38,-0.69,0.0807,0.0282,0.227,7.7
40,37.5114,217,3.4,0.413,0.0094,82,0.029,0.33,-0.88,0.0790,0.0275,0.217,7.7
41,33.5680,271,3.3,0.533,0.0099,87,0.027,0.42,-0.70,0.0760,0.0284,0.160,7.7
42,53.4445,276,3.3,0.427,0.0116,84,0.028,0.42,-0.86,0.1268,0.0279,0.167,7.6
43,45.0600,266,3.4,0.493,0.0119,80,0.029,0.41,-0.76,0.1243,0.0269,0.192,7.6
44,17.1984,240,3.3,0.460,0.0137,78,0.030,0.37,-0.81,0.1158,0.0333,0.179,7.7
45,41.0802,229,3.3,0.487,0.0144,83,0.028,0.35,-0.77,0.1077,0.0329,0.167,7.7
46,30.4630,246,3.4,0.473,0.0153,79,0.030,0.38,-0.79,0.0946,0.0306,0.194,7.7
47,30.0172,269,3.5,0.473,0.0163,83,0.028,0.41,-0.79,0.0852,0.0346,0.167,7.8
48,21.6335,255,3.5,0.493,0.0178,80,0.029,0.39,-0.76,0.0778,0.0354,0.152,7.6
49,37.0961,268,3.5,0.467,0.0185,81,0.029,0.41,-0.80,0.0756,0.0343,0.171,7.6
50,20.4753,236,3.4,0.493,0.0203,83,0.028,0.36,-0.76,0.0747,0.0343,0.175,7.6
51,36.2602,208,3.4,0.440,0.0209,76,0.031,0.32,-0.84,0.0756,0.0334,0.190,7.6
52,39.8180,243,3.3,0.507,0.0227,85,0.028,0.37,-0.74,0.0798,0.0340,0.178,7.7
53,50.4491,293,3.3,0.413,0.0225,84,0.028,0.45,-0.88,0.0813,0.0335,0.182,7.8
54,54.7501,282,3.3,0.520,0.0231,82,0.029,0.43,-0.72,0.0787,0.0345,0.200,7.8
55,44.2509,271,3.3,0.433,0.0236,77,0.030,0.42,-0.85,0.0784,0.0343,0.208,7.9
56,26.3484,228,3.4,0.533,0.0242,76,0.031,0.35,-0.70,0.0738,0.0343,0.208,7.8
57,39.1136,259,3.4,0.407,0.0252,83,0.028,0.40,-0.89,0.0768,0.0336,0.192,7.8
58,23.3528,249,3.5,0.520,0.0260,80,0.029,0.38,-0.72,0.0729,0.0330,0.212,7.8
59,26.1107,253,3.4,0.433,0.0270,79,0.030,0.39,-0.85,0.0661,0.0333,0.231,7.7
60,54.9133,262,3.4,0.493,0.0271,83,0.028,0.40,-0.76,0.0684,0.0311,0.226,7.7
61,39.1607,301,3.2,0.453,0.0291,80,0.029,0.46,-0.82,0.0684,0.0306,0.211,7.7
62,21.8523,222,3.2,0.513,0.0308,82,0.029,0.34,-0.73,0.1131,0.0304,0.207,7.7
63,46.3912,223,3.4,0.420,0.0341,84,0.028,0.34,-0.87,0.1167,0.0325,0.203,7.7
