episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,32.0582,301,3.4,1.000,0.0000,83,0.028,0.46,-0.00,0.0000,0.0000,0.000,7.7
2,34.8459,147,3.4,0.033,0.0000,83,0.028,0.23,-1.45,0.0000,0.0000,0.000,7.7
3,-10.1358,225,3.4,0.813,0.0000,83,0.028,0.35,-0.28,0.0000,0.0000,0.000,7.7
4,33.2328,194,3.4,0.207,0.0000,82,0.029,0.30,-1.19,0.0000,0.0000,0.000,7.7
5,16.6057,241,3.5,0.713,0.0000,76,0.031,0.37,-0.43,0.0000,0.0000,0.000,7.7
6,32.3073,216,3.5,0.273,0.0000,77,0.030,0.33,-1.09,0.0000,0.0000,0.000,7.6
7,35.6450,257,3.3,0.653,0.0000,82,0.029,0.40,-0.52,0.0000,0.0000,0.000,7.6
8,52.4298,312,3.3,0.340,0.0000,78,0.030,0.48,-0.99,0.0000,0.0000,0.000,7.7
9,18.1453,239,3.3,0.567,0.0000,74,0.032,0.37,-0.65,0.0000,0.0000,0.000,7.7
10,48.4271,226,3.4,0.387,0.0000,81,0.029,0.35,-0.92,0.0000,0.0000,0.000,7.8
11,13.3141,254,3.4,0.553,0.0000,76,0.031,0.39,-0.67,0.0000,0.0000,0.000,7.8
12,31.0762,216,3.4,0.407,0.0000,71,0.033,0.33,-0.89,0.0000,0.0000,0.000,7.7
13,41.8733,258,3.4,0.533,0.0000,81,0.029,0.40,-0.70,0.0000,0.0000,0.000,7.6
14,31.6675,291,3.5,0.433,0.0000,80,0.029,0.45,-0.85,0.0000,0.0000,0.000,7.6
15,37.0417,260,3.6,0.487,0.0000,87,0.027,0.40,-0.77,0.0000,0.0000,0.000,7.7
16,29.0975,216,3.5,0.480,0.0000,83,0.028,0.33,-0.78,0.0000,0.0000,0.000,7.8
17,35.9496,237,3.3,0.473,0.0000,82,0.029,0.36,-0.79,0.0000,0.0000,0.000,7.8
18,23.0461,236,3.4,0.467,0.0000,80,0.029,0.36,-0.80,0.0000,0.0000,0.000,7.9
19,33.3525,244,3.4,0.493,0.0000,78,0.030,0.37,-0.76,0.0000,0.0000,0.000,7.8
20,46.0509,280,3.3,0.473,0.0000,80,0.029,0.43,-0.79,0.0000,0.0000,0.000,7.7
21,32.1498,307,3.3,0.480,0.0003,80,0.029,0.47,-0.78,0.1324,0.0000,0.000,7.7
22,24.9694,223,3.4,0.440,0.0011,84,0.028,0.34,-0.84,0.1381,0.0515,0.000,7.7
23,35.4975,251,3.3,0.500,0.0015,87,0.027,0.39,-0.75,0.1237,0.0515,0.000,7.7
24,26.3009,238,3.5,0.460,0.0036,86,0.027,0.37,-0.81,0.0868,0.0528,0.000,7.6
25,36.2234,211,3.4,0.467,0.0036,81,0.029,0.32,-0.80,0.0726,0.0528,0.000,7.6
26,32.3443,237,3.4,0.460,0.0043,87,0.027,0.36,-0.81,0.0655,0.0599,0.000,7.7
27,40.2202,242,3.4,0.467,0.0049,87,0.027,0.37,-0.80,0.0631,0.0559,0.000,7.8
28,44.7370,273,3.3,0.507,0.0060,82,0.029,0.42,-0.74,0.0623,0.0535,0.000,7.8
29,27.9657,242,3.5,0.460,0.0063,87,0.027,0.37,-0.81,0.0565,0.0537,0.000,7.7
30,30.3705,251,3.5,0.500,0.0063,82,0.029,0.39,-0.75,0.0549,0.0534,0.000,7.7
31,34.9518,265,3.4,0.453,0.0070,87,0.027,0.41,-0.82,0.0564,0.0524,0.000,7.6
32,38.7993,261,3.5,0.493,0.0073,86,0.027,0.40,-0.76,0.0513,0.0504,0.000,7.6
33,36.1615,247,3.5,0.460,0.0088,81,0.029,0.38,-0.81,0.0585,0.0458,0.000,7.7
34,26.0885,243,3.4,0.493,0.0095,75,0.031,0.37,-0.76,0.0518,0.0456,0.000,7.8
35,39.8834,246,3.3,0.453,0.0102,84,0.028,0.38,-0.82,0.0515,0.0450,0.000,7.8
36,31.1891,223,3.4,0.513,0.0108,82,0.029,0.34,-0.73,0.0544,0.0451,0.000,7.8
37,38.9469,226,3.4,0.393,0.0121,84,0.028,0.35,-0.91,0.0539,0.0443,0.000,7.8
38,28.1837,268,3.4,0.553,0.0140,83,0.028,0.41,-0.67,0.0521,0.0463,0.000,7.7
39,36.1590,220,3.4,0.447,0.0153,83,0.028,0.34,-0.83,0.0508,0.0455,0.040,7.7
40,37.5574,291,3.3,0.460,0.0153,78,0.030,0.45,-0.81,0.0504,0.0455,0.040,7.7
41,47.9522,300,3.4,0.507,0.0150,82,0.029,0.46,-0.74,0.0488,0.0451,0.042,7.7
42,33.3507,277,3.5,0.420,0.0205,82,0.029,0.43,-0.87,0.1257,0.0536,0.040,7.6
43,30.2003,203,3.5,0.507,0.0236,85,0.028,0.31,-0.74,0.1015,0.0585,0.037,7.6
44,28.7894,245,3.4,0.453,0.0353,86,0.027,0.38,-0.82,0.0746,0.0686,0.033,7.7
45,42.2994,267,3.3,0.467,0.0443,88,0.027,0.41,-0.80,0.0646,0.0826,0.033,7.7
46,42.1500,282,3.3,0.460,0.0493,88,0.027,0.43,-0.81,0.0716,0.0915,0.032,7.7
47,27.5742,246,3.5,0.507,0.0554,77,0.030,0.38,-0.74,0.0722,0.1012,0.032,7.8
48,32.5191,234,3.5,0.460,0.0604,76,0.031,0.36,-0.81,0.0764,0.1066,0.030,7.6
49,18.4080,226,3.5,0.487,0.0742,84,0.028,0.35,-0.77,0.0697,0.1219,0.029,7.6
50,28.4151,243,3.5,0.493,0.0864,80,0.029,0.37,-0.76,0.0623,0.1458,0.026,7.6
51,37.7304,266,3.4,0.440,0.0946,78,0.030,0.41,-0.84,0.0748,0.1641,0.025,7.6
52,37.2337,272,3.4,0.507,0.1100,80,0.029,0.42,-0.74,0.0664,0.1771,0.045,7.7
53,39.8200,223,3.5,0.467,0.1168,80,0.029,0.34,-0.80,0.0656,0.1798,0.044,7.8
54,26.2917,251,3.3,0.513,0.1165,81,0.029,0.39,-0.73,0.0626,0.1823,0.044,7.8
55,25.5025,249,3.4,0.427,0.1217,82,0.029,0.38,-0.86,0.0683,0.1814,0.043,7.9
56,17.7323,211,3.5,0.460,0.1298,80,0.029,0.32,-0.81,0.0670,0.1789,0.043,7.8
57,39.9153,257,3.4,0.460,0.1352,76,0.031,0.39,-0.81,0.0665,0.1806,0.023,7.8
58,30.5929,281,3.3,0.487,0.1396,84,0.028,0.43,-0.77,0.0677,0.1706,0.043,7.8
59,36.9985,252,3.3,0.453,0.1461,82,0.029,0.39,-0.82,0.0650,0.1771,0.043,7.7
60,45.8122,245,3.3,0.520,0.1461,85,0.028,0.38,-0.72,0.0647,0.1771,0.043,7.7
61,30.5529,245,3.3,0.440,0.1669,76,0.031,0.38,-0.84,0.0635,0.1944,0.040,7.7
62,45.0750,283,3.2,0.493,0.1718,79,0.030,0.43,-0.76,0.1166,0.1956,0.038,7.7
63,34.1794,242,3.3,0.487,0.1863,85,0.028,0.37,-0.77,0.0932,0.1884,0.034,7.7
