episode,reward,rate_avg,hops_avg,ho_avg,q_spread,uniq_sat,beam_avg,rew_rate,rew_ho,loss,q_gap_avg,q_gap_noise,n_valid
1,32.0582,301,3.4,1.000,0.0000,83,0.028,0.46,-0.00,0.0000,0.0000,0.000,7.7
2,34.8459,147,3.4,0.033,0.0000,83,0.028,0.23,-1.45,0.0000,0.0000,0.000,7.7
3,-10.1358,225,3.4,0.813,0.0000,83,0.028,0.35,-0.28,0.0000,0.0000,0.000,7.7
4,33.2328,194,3.4,0.207,0.0000,82,0.029,0.30,-1.19,0.0000,0.0000,0.000,7.7
5,16.6057,241,3.5,0.713,0.0000,76,0.031,0.37,-0.43,0.0000,0.0000,0.000,7.7
6,32.3073,216,3.5,0.273,0.0000,77,0.030,0.33,-1.09,0.0000,0.0000,0.000,7.6
7,35.6450,257,3.3,0.653,0.0000,82,0.029,0.40,-0.52,0.0000,0.0000,0.000,7.6
8,52.4298,312,3.3,0.340,0.0000,78,0.030,0.48,-0.99,0.0000,0.0000,0.000,7.7
9,18.1453,239,3.3,0.567,0.0000,74,0.032,0.37,-0.65,0.0000,0.0000,0.000,7.7
10,48.4271,226,3.4,0.387,0.0000,81,0.029,0.35,-0.92,0.0000,0.0000,0.000,7.8
11,13.3141,254,3.4,0.553,0.0000,76,0.031,0.39,-0.67,0.0000,0.0000,0.000,7.8
12,31.0762,216,3.4,0.407,0.0000,71,0.033,0.33,-0.89,0.0000,0.0000,0.000,7.7
13,41.8733,258,3.4,0.533,0.0000,81,0.029,0.40,-0.70,0.0000,0.0000,0.000,7.6
14,31.6675,291,3.5,0.433,0.0000,80,0.029,0.45,-0.85,0.0000,0.0000,0.000,7.6
15,37.0417,260,3.6,0.487,0.0000,87,0.027,0.40,-0.77,0.0000,0.0000,0.000,7.7
16,29.0975,216,3.5,0.480,0.0000,83,0.028,0.33,-0.78,0.0000,0.0000,0.000,7.8
17,35.9496,237,3.3,0.473,0.0000,82,0.029,0.36,-0.79,0.0000,0.0000,0.000,7.8
18,23.0461,236,3.4,0.467,0.0000,80,0.029,0.36,-0.80,0.0000,0.0000,0.000,7.9
19,33.3525,244,3.4,0.493,0.0000,78,0.030,0.37,-0.76,0.0000,0.0000,0.000,7.8
20,46.0509,280,3.3,0.473,0.0000,80,0.029,0.43,-0.79,0.0000,0.0000,0.000,7.7
21,31.6622,303,3.3,0.487,0.0003,79,0.030,0.47,-0.77,0.1334,0.0399,0.000,7.7
22,26.8844,232,3.4,0.440,0.0008,83,0.028,0.36,-0.84,0.1338,0.0288,0.000,7.7
23,35.6984,258,3.3,0.507,0.0011,86,0.027,0.40,-0.74,0.0956,0.0345,0.000,7.7
24,32.5210,232,3.3,0.433,0.0024,82,0.029,0.36,-0.85,0.0915,0.0328,0.167,7.6
25,21.2467,209,3.3,0.533,0.0026,81,0.029,0.32,-0.70,0.0750,0.0296,0.143,7.6
26,52.0098,231,3.3,0.447,0.0026,81,0.029,0.36,-0.83,0.0835,0.0296,0.143,7.7
27,53.9850,282,3.3,0.487,0.0029,84,0.028,0.43,-0.77,0.0782,0.0268,0.250,7.8
28,39.0069,306,3.1,0.487,0.0032,82,0.029,0.47,-0.77,0.0797,0.0323,0.222,7.8
29,41.6249,300,3.2,0.460,0.0032,84,0.028,0.46,-0.81,0.0695,0.0323,0.222,7.7
30,39.1304,240,3.5,0.480,0.0040,86,0.027,0.37,-0.78,0.0687,0.0318,0.200,7.7
31,39.4141,261,3.4,0.460,0.0048,82,0.029,0.40,-0.81,0.0680,0.0328,0.182,7.6
32,35.0591,255,3.4,0.487,0.0055,80,0.029,0.39,-0.77,0.0694,0.0310,0.167,7.6
33,29.9572,243,3.5,0.460,0.0068,86,0.027,0.37,-0.81,0.0674,0.0350,0.133,7.7
34,30.1132,248,3.5,0.473,0.0068,85,0.028,0.38,-0.79,0.0677,0.0350,0.133,7.8
35,30.3449,211,3.5,0.480,0.0076,79,0.030,0.32,-0.78,0.0661,0.0371,0.118,7.8
36,37.6258,244,3.4,0.513,0.0076,80,0.029,0.38,-0.73,0.0610,0.0371,0.118,7.8
37,39.4072,247,3.4,0.420,0.0077,84,0.028,0.38,-0.87,0.0625,0.0371,0.118,7.8
38,37.0364,264,3.4,0.507,0.0086,84,0.028,0.41,-0.74,0.0604,0.0355,0.150,7.7
39,48.5945,256,3.3,0.500,0.0094,86,0.027,0.39,-0.75,0.0634,0.0344,0.174,7.7
40,41.8728,290,3.4,0.447,0.0096,83,0.028,0.45,-0.83,0.0612,0.0334,0.208,7.7
41,29.1372,263,3.3,0.493,0.0103,80,0.029,0.40,-0.76,0.0569,0.0331,0.200,7.7
42,39.4989,255,3.3,0.447,0.0120,87,0.027,0.39,-0.83,0.1265,0.0326,0.200,7.6
43,25.5800,226,3.3,0.480,0.0129,83,0.028,0.35,-0.78,0.0866,0.0359,0.185,7.6
44,39.4973,307,3.3,0.460,0.0160,84,0.028,0.47,-0.81,0.0824,0.0428,0.133,7.7
45,34.6405,280,3.4,0.460,0.0174,80,0.029,0.43,-0.81,0.0990,0.0407,0.188,7.7
46,44.2931,260,3.3,0.487,0.0192,83,0.028,0.40,-0.77,0.0908,0.0389,0.194,7.7
47,36.9276,288,3.4,0.453,0.0200,86,0.027,0.44,-0.82,0.0697,0.0393,0.184,7.8
48,23.0779,259,3.4,0.480,0.0210,87,0.027,0.40,-0.78,0.0840,0.0382,0.200,7.6
49,47.6397,254,3.4,0.433,0.0220,77,0.030,0.39,-0.85,0.0810,0.0403,0.195,7.6
50,41.1929,282,3.4,0.547,0.0229,76,0.031,0.43,-0.68,0.0796,0.0393,0.209,7.6
51,27.5699,259,3.6,0.407,0.0244,77,0.030,0.40,-0.89,0.0715,0.0407,0.196,7.6
52,31.2933,227,3.6,0.473,0.0259,85,0.028,0.35,-0.79,0.0714,0.0412,0.204,7.7
53,34.5353,255,3.6,0.460,0.0273,85,0.028,0.39,-0.81,0.0767,0.0421,0.200,7.8
54,29.7178,214,3.5,0.467,0.0283,75,0.031,0.33,-0.80,0.0752,0.0414,0.192,7.8
55,38.3734,262,3.4,0.480,0.0281,73,0.032,0.40,-0.78,0.0710,0.0405,0.196,7.9
56,36.7539,265,3.3,0.453,0.0305,82,0.029,0.41,-0.82,0.0699,0.0420,0.182,7.8
57,34.2930,270,3.2,0.507,0.0316,80,0.029,0.41,-0.74,0.0712,0.0411,0.193,7.8
58,40.0877,287,3.4,0.427,0.0337,83,0.028,0.44,-0.86,0.0692,0.0443,0.153,7.8
59,27.0063,256,3.5,0.560,0.0346,80,0.029,0.39,-0.66,0.0657,0.0442,0.148,7.7
60,40.4215,259,3.4,0.413,0.0357,85,0.028,0.40,-0.88,0.0649,0.0434,0.159,7.7
61,39.0730,259,3.3,0.440,0.0368,86,0.027,0.40,-0.84,0.0671,0.0442,0.159,7.7
62,37.5451,257,3.3,0.507,0.0370,82,0.029,0.40,-0.74,0.1155,0.0451,0.159,7.7
63,31.1805,238,3.4,0.440,0.0413,84,0.028,0.37,-0.84,0.0857,0.0518,0.138,7.7
